,0
103,4.875114917755127
104,6.232756614685059
105,5.537101745605469
106,6.59037446975708
107,3.664555788040161
108,3.2315421104431152
109,6.170379638671875
110,3.7205142974853516
111,5.663162708282471
112,6.163631916046143
113,6.464600563049316
114,7.172120571136475
115,4.255611896514893
116,4.564515590667725
117,5.9512410163879395
118,4.470818042755127
119,8.057303428649902
120,3.4811758995056152
121,4.828038215637207
122,5.132246971130371
123,4.857043743133545
124,6.071374893188477
125,3.219054937362671
126,4.687641143798828
127,4.287226676940918
128,4.629641056060791
129,4.406538009643555
130,6.483997821807861
131,7.116415500640869
132,7.331779956817627
133,4.9987077713012695
134,4.6285505294799805
135,5.329007625579834
136,4.072813034057617
137,5.070445537567139
138,5.345890045166016
139,4.008855819702148
140,3.6914052963256836
141,4.348837852478027
142,4.333364009857178
143,4.403528213500977
144,6.2422285079956055
145,5.20017147064209
146,5.272488117218018
147,5.003053188323975
148,4.25739049911499
149,5.872803211212158
150,4.008951663970947
151,3.517212152481079
152,3.0766191482543945
153,3.8944883346557617
154,3.838131904602051
155,3.88643217086792
156,4.334113121032715
157,4.567504405975342
158,5.733282566070557
159,5.150180816650391
160,5.068266868591309
161,5.627161026000977
162,6.498151779174805
163,6.609821796417236
164,4.535027980804443
165,4.229668617248535
166,4.591935157775879
167,5.145265102386475
168,5.165672302246094
169,6.9736127853393555
170,7.19252347946167
171,7.329097270965576
172,7.178803443908691
173,5.104559421539307
174,3.7996325492858887
175,3.685961961746216
176,3.7273025512695312
177,3.693938970565796
178,5.358810901641846
179,5.2989912033081055
180,4.7006072998046875
181,4.716562747955322
182,4.257579803466797
183,4.998103141784668
184,5.554411888122559
185,3.6910512447357178
186,4.730363845825195
187,6.569701194763184
188,5.716751575469971
189,4.843436241149902
190,6.612030982971191
191,5.987626552581787
192,5.329693794250488
193,5.636826992034912
194,5.897934913635254
195,5.830233097076416
196,4.854801654815674
197,4.116871356964111
198,4.9314866065979
199,4.524274826049805
200,4.326554298400879
201,4.580872058868408
202,6.178092956542969
203,4.191217422485352
204,6.059467792510986
205,7.432076454162598
206,8.20792007446289
207,6.387985706329346
208,4.438194751739502
209,4.967320919036865
210,4.561266899108887
211,4.582341194152832
212,5.420907020568848
213,4.410837173461914
214,4.473149299621582
215,5.543835163116455
216,4.501095294952393
217,3.61130952835083
218,4.167646884918213
219,3.86696457862854
220,4.032177925109863
221,6.2017645835876465
222,6.287463188171387
223,7.041467189788818
224,6.489128112792969
225,6.370457172393799
226,4.022773742675781
227,5.529613971710205
228,5.222156524658203
229,5.027432918548584
230,4.231698036193848
231,4.526773452758789
232,4.544429779052734
233,4.779899597167969
234,3.9924652576446533
235,5.086756706237793
236,3.8835315704345703
